Year,Month,Trade,Product,Product_KR,Country,Cases,Quantity_kg
2023,12,Import,Dried deer velvet,녹용,Russia,7,10831.7
2023,12,Import,Frozen deer velvet,생녹용,New Zealand,3,5821.1
2024,1,Export,Deer velvet extract,녹용추출물,USA,2,3103.38
2024,1,Import,Dried deer velvet,녹용,China,9,8400
2024,1,Import,Dried deer velvet,녹용,Hong Kong,1,86
2024,1,Import,Dried deer velvet,녹용,New Zealand,3,6140.15
2024,1,Import,Dried deer velvet,녹용,Russia,6,6754.9
2024,1,Import,Frozen deer velvet,생녹용,New Zealand,3,7000.95
2024,2,Export,Deer velvet extract,녹용추출물,USA,2,1463.4
2024,2,Import,Dried deer velvet,녹용,China,5,7800
2024,2,Import,Dried deer velvet,녹용,New Zealand,1,1185.21
2024,2,Import,Dried deer velvet,녹용,Russia,2,1390.21
2024,2,Import,Frozen deer velvet,생녹용,China,1,400
2024,2,Import,Frozen deer velvet,생녹용,New Zealand,8,15000.18
2024,3,Import,Dried deer velvet,녹용,China,4,5500
2024,3,Import,Dried deer velvet,녹용,New Zealand,1,553.38
2024,3,Import,Dried deer velvet,녹용,Russia,1,1177.84
2024,3,Import,Frozen deer velvet,생녹용,New Zealand,4,19520
2024,4,Export,Deer velvet extract,녹용추출물,USA,2,556.1
2024,4,Import,Dried deer velvet,녹용,China,5,9400
2024,4,Import,Dried deer velvet,녹용,Russia,7,4854.43
2024,5,Export,Deer velvet extract,녹용추출물,USA,2,2242.8
2024,5,Import,Dried deer velvet,녹용,China,5,8451.25
2024,5,Import,Dried deer velvet,녹용,New Zealand,3,2969.17
2024,5,Import,Dried deer velvet,녹용,Russia,6,8625.02
2024,5,Import,Frozen deer velvet,생녹용,New Zealand,5,11096.1
2024,6,Export,Deer velvet extract,녹용추출물,Australia,1,40
2024,6,Export,Deer velvet extract,녹용추출물,USA,1,230
2024,6,Import,Dried deer velvet,녹용,China,6,9551
2024,6,Import,Dried deer velvet,녹용,Russia,2,1128.8
2024,6,Import,Frozen deer velvet,생녹용,New Zealand,1,2723
2024,7,Export,Deer velvet extract,녹용추출물,USA,3,3508.5
2024,7,Import,Dried deer velvet,녹용,China,7,7982.575
2024,7,Import,Dried deer velvet,녹용,Hong Kong,1,3000
2024,7,Import,Dried deer velvet,녹용,New Zealand,1,2500
2024,7,Import,Frozen deer velvet,생녹용,New Zealand,1,530
2024,8,Export,Deer velvet extract,녹용추출물,USA,2,204.25
2024,8,Import,Dried deer velvet,녹용,China,1,3000
2024,8,Import,Frozen deer velvet,생녹용,New Zealand,2,3002.18
2024,9,Export,Deer velvet extract,녹용추출물,USA,4,1357.5
2024,9,Import,Dried deer velvet,녹용,China,2,1400
2024,9,Import,Dried deer velvet,녹용,Hong Kong,1,1260
2024,9,Import,Dried deer velvet,녹용,Russia,1,576
2024,10,Export,Deer velvet extract,녹용추출물,Australia,1,114
2024,10,Export,Deer velvet extract,녹용추출물,USA,2,2500.1
2024,10,Import,Dried deer velvet,녹용,China,1,3500
2024,10,Import,Dried deer velvet,녹용,Kazakhstan,2,413
2024,10,Import,Dried deer velvet,녹용,New Zealand,1,1000
2024,10,Import,Dried deer velvet,녹용,Russia,3,2500.57
2024,11,Export,Deer velvet extract,녹용추출물,USA,2,116
2024,11,Import,Dried deer velvet,녹용,China,14,20255
2024,11,Import,Dried deer velvet,녹용,New Zealand,1,2439.7
2024,11,Import,Dried deer velvet,녹용,Russia,1,2164.38
2024,11,Import,Frozen deer velvet,생녹용,New Zealand,1,3000
2024,12,Export,Deer velvet extract,녹용추출물,USA,1,3602.2
2024,12,Import,Dried deer velvet,녹용,China,5,4150
2024,12,Import,Dried deer velvet,녹용,Russia,12,10687.67
2024,12,Import,Frozen deer velvet,생녹용,New Zealand,6,15065.94
2025,1,Export,Deer velvet extract,녹용추출물,USA,1,420
2025,1,Import,Dried deer velvet,녹용,China,1,3500
2025,1,Import,Dried deer velvet,녹용,Hong Kong,1,1598.6
2025,1,Import,Dried deer velvet,녹용,Russia,5,3350.68
2025,1,Import,Frozen deer velvet,생녹용,New Zealand,5,18026.04
2025,2,Export,Deer velvet extract,녹용추출물,Australia,1,114
2025,2,Import,Dried deer velvet,녹용,China,2,7095
2025,2,Import,Dried deer velvet,녹용,New Zealand,1,322.9
2025,2,Import,Dried deer velvet,녹용,Russia,7,5214.75
2025,2,Import,Frozen deer velvet,생녹용,New Zealand,3,5818.78
2025,3,Export,Deer velvet extract,녹용추출물,USA,2,4605.7
2025,3,Import,Dried deer velvet,녹용,China,5,5210
2025,3,Import,Dried deer velvet,녹용,Hong Kong,1,400
2025,3,Import,Dried deer velvet,녹용,New Zealand,1,954.46
2025,3,Import,Dried deer velvet,녹용,Russia,7,9555.62
